ID,BIOSAMPLE_ACCESSION,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,MOXI,MOXI_lower_bound,MOXI_upper_bound,MOXI_midpoint,category,Path,MOXI_quality
00-R0435,ERS2401310,00R0435,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.125-0.25,0.125,0.25,0.19,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0435/pilon/00R0435,
00-R0453,ERS2401368,00R0453,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R0453/pilon/00R0453,
00-R1566,ERS2401251,00R1566,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/00R1566/pilon/00R1566,
01-R0166,ERS2401238,01R0166,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0166/pilon/01R0166,
01-R0647,ERS2401375,01R0647,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,<=0.125,,0.125,0.125,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0647/pilon/01R0647,
01-R0697,ERS2401323,01R0697,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0697/pilon/01R0697,
01-R1241,ERS2401376,01R1241,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,0.5-1,0.5,1.0,0.75,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1241/pilon/01R1241,
01-R1339,ERS2401108,01R1339,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1339/pilon/01R1339,
01-R1341,ERS2401387,01R1341,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,>8,8.0,,8.0,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1341/pilon/01R1341,
01-R1499,ERS2401269,01R1499,Peru,farhat_internal,MSLI,,,Middlebrook 7H10,1-4,1.0,4.0,2.5,original_train_set,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1499/pilon/01R1499,
